"sub","countergroup","intensity","load","dvtype","perf"
129,"B","active","inc","rt",1.51621432040145
130,"C","active","inc","rt",-3.10359589041096
100,"A","active","neu","rt",-5.93891071114498
101,"B","active","neu","rt",-1.58048445284315
105,"B","active","neu","rt",-6.10280932456664
106,"C","active","neu","rt",1.59583498387188
108,"A","active","neu","rt",8.06705566361025
111,"C","active","neu","rt",1.89459799748186
114,"D","active","neu","rt",1.76261402875844
115,"B","active","neu","rt",-1.21714908562433
116,"C","active","neu","rt",-4.56043626775335
117,"D","active","neu","rt",-8.285450176129
102,"C","active","neu","rt",5.87280259769342
103,"D","active","neu","rt",6.77045819713002
104,"A","active","neu","rt",-3.73439000960614
107,"D","active","neu","rt",-1.17615610799252
109,"B","active","neu","rt",9.05812202273453
110,"C","active","neu","rt",1.56481939633844
112,"D","active","neu","rt",5.19931696402284
123,"B","active","neu","rt",-2.10365495357856
124,"B","active","neu","rt",3.10976334879296
125,"C","active","neu","rt",8.13036621692659
126,"A","active","neu","rt",-9.08732936646832
127,"D","active","neu","rt",-28.2121259109939
128,"A","active","neu","rt",1.45576707726764
129,"B","active","neu","rt",5.33419780737947
130,"C","active","neu","rt",-4.0653293094266
100,"A","active","con","rt",-6.02254967626702
101,"B","active","con","rt",-5.99487710501935
105,"B","active","con","rt",-3.63270040906038
106,"C","active","con","rt",-1.92472657087712
108,"A","active","con","rt",4.26125049780963
111,"C","active","con","rt",2.461856422102
114,"D","active","con","rt",1.24884839799366
115,"B","active","con","rt",1.98594561564314
116,"C","active","con","rt",2.73575390821986
117,"D","active","con","rt",-6.28156748911466
102,"C","active","con","rt",5.38496021517428
103,"D","active","con","rt",4.65103745621126
104,"A","active","con","rt",-2.61736102773442
107,"D","active","con","rt",-5.44672402382528
109,"B","active","con","rt",-4.62682785441764
110,"C","active","con","rt",-1.99288758481048
112,"D","active","con","rt",0.786610878661083
123,"B","active","con","rt",-2.67048442704377
124,"B","active","con","rt",-4.03643507769244
125,"C","active","con","rt",0.794967114669722
126,"A","active","con","rt",-2.60909431917644
127,"D","active","con","rt",-4.81549532996479
128,"A","active","con","rt",8.73957181626293
129,"B","active","con","rt",8.4732455610581
130,"C","active","con","rt",0.927455215347472
100,"A","passive","inc","rt",-0.220782337413003
101,"B","passive","inc","rt",0.935525871630423
105,"B","passive","inc","rt",-0.858463570327985
106,"C","passive","inc","rt",-5.39975977857852
108,"A","passive","inc","rt",4.50670455554569
111,"C","passive","inc","rt",-0.304077213478273
114,"D","passive","inc","rt",-1.9019784172662
115,"B","passive","inc","rt",5.27703173182134
116,"C","passive","inc","rt",-1.64014027515512
117,"D","passive","inc","rt",-2.87178950672177
102,"C","passive","inc","rt",6.05940941599754
103,"D","passive","inc","rt",-8.15692792162351
104,"A","passive","inc","rt",-0.357820547573863
107,"D","passive","inc","rt",7.22978238714706
109,"B","passive","inc","rt",-11.2006816714696
110,"C","passive","inc","rt",-6.89219761140632
112,"D","passive","inc","rt",-8.98986876953003
123,"B","passive","inc","rt",6.26314937692183
124,"B","passive","inc","rt",3.47485295228375
125,"C","passive","inc","rt",-4.33687330204989
126,"A","passive","inc","rt",1.93020171065269
127,"D","passive","inc","rt",-8.23459421942392
128,"A","passive","inc","rt",1.11977321048901
129,"B","passive","inc","rt",8.9250409535107
130,"C","passive","inc","rt",-2.58047493403694
100,"A","passive","neu","rt",-5.6700456722736
101,"B","passive","neu","rt",-1.29538094426453
105,"B","passive","neu","rt",1.66373681567052
106,"C","passive","neu","rt",-4.8132971662723
108,"A","passive","neu","rt",-8.66739387328424
