"sub","countergroup","condition","perf","dvtype","time","intensity","load"
108,"A","post_active_1B_acc",0.807692308,"acc","post","active","1B"
111,"C","post_active_1B_acc",0.923076923,"acc","post","active","1B"
114,"D","post_active_1B_acc",1,"acc","post","active","1B"
115,"B","post_active_1B_acc",0.980769231,"acc","post","active","1B"
116,"C","post_active_1B_acc",1,"acc","post","active","1B"
117,"D","post_active_1B_acc",0.961538462,"acc","post","active","1B"
102,"C","post_active_1B_acc",1,"acc","post","active","1B"
103,"D","post_active_1B_acc",1,"acc","post","active","1B"
104,"A","post_active_1B_acc",0.980769231,"acc","post","active","1B"
107,"D","post_active_1B_acc",1,"acc","post","active","1B"
109,"B","post_active_1B_acc",0.903846154,"acc","post","active","1B"
110,"C","post_active_1B_acc",0.903846154,"acc","post","active","1B"
112,"D","post_active_1B_acc",0.865384615,"acc","post","active","1B"
123,"B","post_active_1B_acc",0.980769231,"acc","post","active","1B"
124,"B","post_active_1B_acc",1,"acc","post","active","1B"
125,"C","post_active_1B_acc",0.980769231,"acc","post","active","1B"
126,"A","post_active_1B_acc",0.980769231,"acc","post","active","1B"
127,"D","post_active_1B_acc",0.923076923,"acc","post","active","1B"
128,"A","post_active_1B_acc",0.980769231,"acc","post","active","1B"
129,"B","post_active_1B_acc",0.961538462,"acc","post","active","1B"
130,"C","post_active_1B_acc",0.942307692,"acc","post","active","1B"
100,"A","pre_passive_2B_acc",0.979166667,"acc","pre","passive","2B"
101,"B","pre_passive_2B_acc",0.895833333,"acc","pre","passive","2B"
105,"B","pre_passive_2B_acc",0.958333333,"acc","pre","passive","2B"
106,"C","pre_passive_2B_acc",0.875,"acc","pre","passive","2B"
108,"A","pre_passive_2B_acc",0.854166667,"acc","pre","passive","2B"
111,"C","pre_passive_2B_acc",0.875,"acc","pre","passive","2B"
114,"D","pre_passive_2B_acc",0.916666667,"acc","pre","passive","2B"
115,"B","pre_passive_2B_acc",0.979166667,"acc","pre","passive","2B"
116,"C","pre_passive_2B_acc",0.9375,"acc","pre","passive","2B"
117,"D","pre_passive_2B_acc",1,"acc","pre","passive","2B"
102,"C","pre_passive_2B_acc",0.979166667,"acc","pre","passive","2B"
103,"D","pre_passive_2B_acc",0.979166667,"acc","pre","passive","2B"
104,"A","pre_passive_2B_acc",0.875,"acc","pre","passive","2B"
107,"D","pre_passive_2B_acc",0.979166667,"acc","pre","passive","2B"
109,"B","pre_passive_2B_acc",0.875,"acc","pre","passive","2B"
110,"C","pre_passive_2B_acc",0.8125,"acc","pre","passive","2B"
112,"D","pre_passive_2B_acc",0.9375,"acc","pre","passive","2B"
123,"B","pre_passive_2B_acc",0.916666667,"acc","pre","passive","2B"
124,"B","pre_passive_2B_acc",0.916666667,"acc","pre","passive","2B"
125,"C","pre_passive_2B_acc",0.8125,"acc","pre","passive","2B"
126,"A","pre_passive_2B_acc",1,"acc","pre","passive","2B"
127,"D","pre_passive_2B_acc",0.916666667,"acc","pre","passive","2B"
128,"A","pre_passive_2B_acc",0.729166667,"acc","pre","passive","2B"
129,"B","pre_passive_2B_acc",0.729166667,"acc","pre","passive","2B"
130,"C","pre_passive_2B_acc",0.9375,"acc","pre","passive","2B"
100,"A","post_passive_2B_acc",0.979166667,"acc","post","passive","2B"
101,"B","post_passive_2B_acc",0.979166667,"acc","post","passive","2B"
105,"B","post_passive_2B_acc",0.9375,"acc","post","passive","2B"
106,"C","post_passive_2B_acc",0.895833333,"acc","post","passive","2B"
108,"A","post_passive_2B_acc",0.6875,"acc","post","passive","2B"
111,"C","post_passive_2B_acc",0.770833333,"acc","post","passive","2B"
114,"D","post_passive_2B_acc",0.9375,"acc","post","passive","2B"
115,"B","post_passive_2B_acc",0.9375,"acc","post","passive","2B"
116,"C","post_passive_2B_acc",0.979166667,"acc","post","passive","2B"
117,"D","post_passive_2B_acc",0.979166667,"acc","post","passive","2B"
102,"C","post_passive_2B_acc",1,"acc","post","passive","2B"
103,"D","post_passive_2B_acc",0.979166667,"acc","post","passive","2B"
104,"A","post_passive_2B_acc",0.979166667,"acc","post","passive","2B"
107,"D","post_passive_2B_acc",0.958333333,"acc","post","passive","2B"
109,"B","post_passive_2B_acc",1,"acc","post","passive","2B"
110,"C","post_passive_2B_acc",0.854166667,"acc","post","passive","2B"
112,"D","post_passive_2B_acc",0.979166667,"acc","post","passive","2B"
123,"B","post_passive_2B_acc",0.875,"acc","post","passive","2B"
124,"B","post_passive_2B_acc",0.916666667,"acc","post","passive","2B"
125,"C","post_passive_2B_acc",0.916666667,"acc","post","passive","2B"
126,"A","post_passive_2B_acc",0.979166667,"acc","post","passive","2B"
127,"D","post_passive_2B_acc",0.9375,"acc","post","passive","2B"
128,"A","post_passive_2B_acc",0.791666667,"acc","post","passive","2B"
129,"B","post_passive_2B_acc",0.895833333,"acc","post","passive","2B"
130,"C","post_passive_2B_acc",0.916666667,"acc","post","passive","2B"
100,"A","pre_active_2B_acc",0.958333333,"acc","pre","active","2B"
101,"B","pre_active_2B_acc",0.9375,"acc","pre","active","2B"
105,"B","pre_active_2B_acc",0.875,"acc","pre","active","2B"
106,"C","pre_active_2B_acc",0.854166667,"acc","pre","active","2B"
108,"A","pre_active_2B_acc",0.875,"acc","pre","active","2B"
111,"C","pre_active_2B_acc",0.854166667,"acc","pre","active","2B"
114,"D","pre_active_2B_acc",1,"acc","pre","active","2B"
115,"B","pre_active_2B_acc",0.895833333,"acc","pre","active","2B"
116,"C","pre_active_2B_acc",1,"acc","pre","active","2B"
117,"D","pre_active_2B_acc",0.875,"acc","pre","active","2B"
102,"C","pre_active_2B_acc",0.958333333,"acc","pre","active","2B"
103,"D","pre_active_2B_acc",0.9375,"acc","pre","active","2B"
104,"A","pre_active_2B_acc",0.875,"acc","pre","active","2B"
107,"D","pre_active_2B_acc",0.958333333,"acc","pre","active","2B"
109,"B","pre_active_2B_acc",0.958333333,"acc","pre","active","2B"
110,"C","pre_active_2B_acc",0.791666667,"acc","pre","active","2B"
112,"D","pre_active_2B_acc",0.9375,"acc","pre","active","2B"
123,"B","pre_active_2B_acc",0.791666667,"acc","pre","active","2B"
124,"B","pre_active_2B_acc",0.854166667,"acc","pre","active","2B"
125,"C","pre_active_2B_acc",0.875,"acc","pre","active","2B"
126,"A","pre_active_2B_acc",0.861111111,"acc","pre","active","2B"
127,"D","pre_active_2B_acc",0.791666667,"acc","pre","active","2B"
128,"A","pre_active_2B_acc",0.75,"acc","pre","active","2B"
129,"B","pre_active_2B_acc",0.75,"acc","pre","active","2B"
130,"C","pre_active_2B_acc",0.833333333,"acc","pre","active","2B"
100,"A","post_active_2B_acc",0.979166667,"acc","post","active","2B"
101,"B","post_active_2B_acc",1,"acc","post","active","2B"
105,"B","post_active_2B_acc",0.916666667,"acc","post","active","2B"
106,"C","post_active_2B_acc",0.9375,"acc","post","active","2B"
108,"A","post_active_2B_acc",0.861111111,"acc","post","active","2B"
111,"C","post_active_2B_acc",0.958333333,"acc","post","active","2B"
114,"D","post_active_2B_acc",1,"acc","post","active","2B"
115,"B","post_active_2B_acc",0.979166667,"acc","post","active","2B"
116,"C","post_active_2B_acc",1,"acc","post","active","2B"
117,"D","post_active_2B_acc",0.979166667,"acc","post","active","2B"
102,"C","post_active_2B_acc",1,"acc","post","active","2B"
103,"D","post_active_2B_acc",1,"acc","post","active","2B"
104,"A","post_active_2B_acc",0.9375,"acc","post","active","2B"
107,"D","post_active_2B_acc",1,"acc","post","active","2B"
109,"B","post_active_2B_acc",0.9375,"acc","post","active","2B"
110,"C","post_active_2B_acc",0.791666667,"acc","post","active","2B"
112,"D","post_active_2B_acc",0.958333333,"acc","post","active","2B"
123,"B","post_active_2B_acc",0.895833333,"acc","post","active","2B"
124,"B","post_active_2B_acc",0.958333333,"acc","post","active","2B"
125,"C","post_active_2B_acc",0.854166667,"acc","post","active","2B"
126,"A","post_active_2B_acc",0.979166667,"acc","post","active","2B"
127,"D","post_active_2B_acc",0.875,"acc","post","active","2B"
128,"A","post_active_2B_acc",0.854166667,"acc","post","active","2B"
129,"B","post_active_2B_acc",0.833333333,"acc","post","active","2B"
130,"C","post_active_2B_acc",0.916666667,"acc","post","active","2B"
100,"A","pre_passive_1B_RT",665.6923077,"rt","pre","passive","1B"
101,"B","pre_passive_1B_RT",639.6,"rt","pre","passive","1B"
105,"B","pre_passive_1B_RT",649.5,"rt","pre","passive","1B"
106,"C","pre_passive_1B_RT",849.826087,"rt","pre","passive","1B"
108,"A","pre_passive_1B_RT",930.4230769,"rt","pre","passive","1B"
111,"C","pre_passive_1B_RT",750.6590909,"rt","pre","passive","1B"
114,"D","pre_passive_1B_RT",798.1489362,"rt","pre","passive","1B"
115,"B","pre_passive_1B_RT",731.9166667,"rt","pre","passive","1B"
116,"C","pre_passive_1B_RT",704.1020408,"rt","pre","passive","1B"
117,"D","pre_passive_1B_RT",705.5,"rt","pre","passive","1B"
