"sub","countergroup","time","intensity","load","dvtype","perf"
125,"C","post","passive","con","acc",1
126,"A","post","passive","con","acc",1
127,"D","post","passive","con","acc",1
128,"A","post","passive","con","acc",1
129,"B","post","passive","con","acc",0.975
130,"C","post","passive","con","acc",0.95
100,"A","pre","active","inc","acc",0.925
101,"B","pre","active","inc","acc",0.95
105,"B","pre","active","inc","acc",0.9
106,"C","pre","active","inc","acc",0.925
108,"A","pre","active","inc","acc",0.975
111,"C","pre","active","inc","acc",0.85
114,"D","pre","active","inc","acc",1
115,"B","pre","active","inc","acc",0.9
116,"C","pre","active","inc","acc",0.925
117,"D","pre","active","inc","acc",0.975
102,"C","pre","active","inc","acc",0.65
103,"D","pre","active","inc","acc",0.975
104,"A","pre","active","inc","acc",0.925
107,"D","pre","active","inc","acc",0.85
109,"B","pre","active","inc","acc",0.975
110,"C","pre","active","inc","acc",0.85
112,"D","pre","active","inc","acc",0.9
123,"B","pre","active","inc","acc",0.975
124,"B","pre","active","inc","acc",0.925
125,"C","pre","active","inc","acc",0.925
126,"A","pre","active","inc","acc",1
127,"D","pre","active","inc","acc",1
128,"A","pre","active","inc","acc",0.95
129,"B","pre","active","inc","acc",0.9
130,"C","pre","active","inc","acc",0.825
100,"A","post","active","inc","acc",0.95
101,"B","post","active","inc","acc",0.95
105,"B","post","active","inc","acc",0.85
106,"C","post","active","inc","acc",0.975
108,"A","post","active","inc","acc",1
111,"C","post","active","inc","acc",0.95
114,"D","post","active","inc","acc",1
115,"B","post","active","inc","acc",0.9
116,"C","post","active","inc","acc",0.975
117,"D","post","active","inc","acc",0.95
102,"C","post","active","inc","acc",0.875
103,"D","post","active","inc","acc",0.95
104,"A","post","active","inc","acc",0.875
107,"D","post","active","inc","acc",0.825
109,"B","post","active","inc","acc",0.95
110,"C","post","active","inc","acc",0.825
112,"D","post","active","inc","acc",0.9
123,"B","post","active","inc","acc",0.95
124,"B","post","active","inc","acc",0.925
125,"C","post","active","inc","acc",0.975
126,"A","post","active","inc","acc",0.975
127,"D","post","active","inc","acc",0.95
128,"A","post","active","inc","acc",1
129,"B","post","active","inc","acc",0.95
130,"C","post","active","inc","acc",0.825
100,"A","pre","active","neu","acc",1
101,"B","pre","active","neu","acc",1
105,"B","pre","active","neu","acc",1
106,"C","pre","active","neu","acc",0.975
108,"A","pre","active","neu","acc",1
111,"C","pre","active","neu","acc",1
114,"D","pre","active","neu","acc",1
115,"B","pre","active","neu","acc",1
116,"C","pre","active","neu","acc",0.975
117,"D","pre","active","neu","acc",0.95
102,"C","pre","active","neu","acc",0.95
103,"D","pre","active","neu","acc",1
104,"A","pre","active","neu","acc",1
107,"D","pre","active","neu","acc",1
